rowID colID Value
1 2 51
1 5 26
1 10 100
1 14 40
1 49 81
1 71 16
1 75 76
1 82 19
1 95 37
1 111 81
1 144 32
1 148 32
1 160 9
1 162 19
1 163 76
1 166 67
1 171 35
1 184 41
1 186 1
1 196 92
1 208 12
1 212 92
1 214 75
1 221 39
1 229 31
1 234 79
1 235 78
1 241 43
1 250 52
1 254 14
1 257 15
1 260 88
1 274 61
2 9 86
2 11 88
2 21 62
2 26 33
2 36 93
2 49 17
2 51 96
2 59 63
2 80 17
2 82 45
2 97 8
2 100 86
2 102 29
2 104 93
2 107 3
2 118 8
2 121 86
2 125 84
2 143 52
2 144 45
2 155 91
2 163 83
2 164 33
2 177 27
2 180 25
2 193 7
2 220 10
2 236 44
2 240 71
2 256 8
2 283 36
3 1 18
3 28 97
3 34 14
3 37 45
3 40 12
3 47 23
3 48 33
3 55 4
3 111 80
3 113 44
3 125 48
3 127 92
3 128 80
3 130 94
3 136 56
3 139 27
3 148 68
3 171 48
3 259 26
4 8 17
4 20 32
4 32 54
4 34 45
4 53 68
4 55 13
4 59 95
4 72 30
4 78 73
4 92 57
4 98 38
4 117 17
4 127 76
4 128 84
4 143 100
4 145 57
4 148 21
4 151 25
4 174 94
4 190 77
4 192 97
4 201 46
4 203 39
4 204 37
4 217 65
4 219 25
4 223 85
4 257 93
4 283 14
5 17 95
5 35 31
5 57 13
5 60 61
5 77 40
5 118 56
5 122 79
5 138 99
5 144 20
5 149 11
5 203 48
5 217 23
5 221 78
5 226 95
5 241 11
5 268 90
5 276 26
5 286 29
6 8 76
6 37 50
6 48 32
6 49 37
6 62 9
6 78 6
6 85 64
6 86 3
6 87 77
6 93 16
6 110 12
6 172 37
6 210 7
6 212 11
6 217 92
6 254 22
6 265 16
6 283 46
6 286 35
6 293 46
6 298 90
7 3 30
7 8 21
7 43 3
7 45 41
7 97 27
7 102 99
7 108 68
7 110 3
7 112 30
7 113 21
7 124 67
7 166 4
7 168 80
7 178 29
7 184 26
7 187 45
7 197 47
7 201 83
7 204 4
7 212 65
7 213 17
7 230 74
7 239 19
7 274 25
7 284 83
7 289 35
7 292 24
7 299 41
8 5 89
8 49 45
8 50 87
8 62 87
8 74 26
8 91 17
8 96 84
8 97 93
8 138 27
8 148 88
8 167 53
8 168 58
8 178 79
8 179 30
8 182 67
8 198 70
8 205 76
8 213 58
8 223 77
8 237 48
8 251 78
8 267 35
8 275 30
8 280 60
8 282 31
8 286 1
8 297 51
9 1 72
9 16 4
9 24 59
9 29 47
9 33 59
9 49 13
9 53 82
9 63 94
9 68 26
9 82 97
9 97 67
9 129 73
9 133 81
9 138 72
9 154 67
9 157 3
9 170 83
9 192 7
9 193 97
9 223 35
9 242 98
9 245 76
9 250 91
9 258 70
9 271 69
9 284 20
9 286 86
9 290 54
9 293 79
9 296 91
10 13 15
10 51 42
10 52 49
10 57 53
10 67 2
10 93 63
10 102 47
10 113 34
10 122 58
10 135 19
10 136 85
10 173 96
10 175 62
10 189 34
10 207 32
10 216 95
10 241 56
10 249 19
10 262 2
10 282 40
10 299 66
10 300 95
11 32 40
11 41 45
11 60 79
11 78 1
11 96 71
11 107 35
11 111 43
11 112 99
11 125 28
11 130 10
11 137 5
11 140 21
11 194 66
11 196 35
11 198 97
11 211 69
11 212 31
11 229 34
11 233 39
11 236 30
11 243 13
11 282 76
12 4 27
12 15 73
12 36 89
12 38 44
12 40 92
12 42 30
12 61 68
12 95 29
12 97 4
12 129 73
12 133 77
12 136 7
12 147 58
12 174 44
12 176 23
12 184 58
12 205 74
12 209 20
12 223 73
12 228 47
12 231 16
12 241 26
12 244 87
12 273 36
12 274 79
12 292 30
13 7 40
13 8 88
13 16 25
13 25 68
13 28 18
13 31 44
13 45 75
13 63 11
13 67 32
13 73 12
13 75 89
13 82 43
13 99 81
13 104 54
13 118 65
13 134 42
13 145 50
13 149 77
13 166 75
13 203 29
13 254 81
13 271 42
13 274 15
13 281 41
13 296 23
14 18 90
14 59 55
14 71 69
14 72 9
14 83 57
14 104 6
14 112 94
14 126 80
14 129 5
14 136 8
14 148 100
14 155 64
14 195 57
14 205 79
14 218 7
14 230 99
14 244 29
14 248 31
14 265 2
14 281 71
15 4 13
15 7 82
15 16 60
15 29 76
15 48 60
15 61 48
15 72 1
15 89 25
15 95 82
15 103 36
15 105 54
15 109 6
15 118 4
15 120 41
15 129 43
15 132 93
15 144 75
15 149 25
15 153 74
15 159 38
15 173 29
15 174 66
15 192 19
15 196 55
15 197 79
15 198 70
15 202 76
15 224 88
15 230 38
15 231 35
15 240 30
15 247 42
15 248 86
15 261 59
15 266 41
15 283 11
15 294 78
16 2 6
16 25 43
16 40 72
16 66 15
16 69 65
16 83 76
16 85 99
16 100 57
16 107 95
16 113 13
16 126 17
16 128 80
16 164 96
16 180 100
16 203 46
16 208 77
16 233 28
16 268 31
16 270 91
16 272 97
16 276 73
16 279 49
16 281 71
16 289 1
16 290 97
16 296 56
17 5 25
17 8 87
17 33 30
17 37 1
17 47 75
17 53 88
17 55 82
17 69 5
17 95 5
17 105 54
17 126 55
17 176 100
17 177 76
17 198 81
17 211 17
17 219 46
17 221 80
17 222 22
17 225 100
17 233 64
17 241 42
17 289 38
17 292 39
18 5 72
18 15 68
18 29 64
18 52 13
18 55 21
18 77 62
18 85 11
18 103 60
18 122 60
18 125 26
18 137 35
18 141 67
18 145 91
18 167 65
18 217 4
18 225 2
18 242 69
18 248 70
18 251 16
18 254 57
18 256 84
18 295 70
18 297 50
19 5 54
19 13 44
19 21 39
19 23 50
19 24 77
19 57 78
19 65 63
19 74 100
19 92 57
19 123 32
19 136 86
19 161 38
19 165 58
19 177 44
19 178 32
19 198 30
19 202 95
19 208 36
19 212 76
19 219 26
19 220 11
19 224 51
19 298 80
20 1 48
20 16 42
20 17 61
20 35 63
20 43 67
20 59 90
20 61 9
20 74 70
20 84 63
20 91 56
20 102 50
20 106 8
20 108 37
20 112 67
20 118 45
20 135 75
20 154 23
20 164 92
20 199 94
20 207 38
20 212 41
20 219 82
20 228 63
20 231 70
20 263 9
20 265 97
20 267 36
20 276 92
20 279 48
20 286 45
21 2 90
21 13 52
21 29 23
21 36 55
21 37 86
21 45 59
21 50 88
21 74 94
21 84 50
21 92 56
21 95 23
21 98 56
21 106 70
21 114 14
